Year,Rnd,Tm,First,Last,Position Standard,Age,
2015,1,TAM,Jameis,Winston,QB,21,
2015,1,TEN,Marcus,Mariota,QB,21,
2015,1,JAX,Dante,Fowler,LB,21,
2015,1,OAK,Amari,Cooper,WR,21,
2015,1,WAS,Brandon,Scherff,T,23,
2015,1,NYJ,Leonard,Williams,DE,21,
2015,1,CHI,Kevin,White,WR,23,
2015,1,ATL,Vic,Beasley,LB,23,
2015,1,NYG,Ereck,Flowers,T,21,
2015,1,STL,Todd,Gurley,RB,21,
2015,1,MIN,Trae,Waynes,DB,23,
2015,1,CLE,Danny,Shelton,DT,22,
2015,1,NOR,Andrus,Peat,T,21,
2015,1,MIA,DeVante,Parker,WR,22,
2015,1,SDG,Melvin,Gordon,RB,22,
2015,1,HOU,Kevin,Johnson,DB,23,
2015,1,SFO,Arik,Armstead,DT,21,
2015,1,KAN,Marcus,Peters,DB,22,
2015,1,CLE,Cameron,Erving,C,23,
2015,1,PHI,Nelson,Agholor,WR,22,
2015,1,CIN,Cedric,Ogbuehi,T,23,
2015,1,PIT,Bud,Dupree,LB,22,
2015,1,DEN,Shane,Ray,DE,22,
2015,1,ARI,D.J.,Humphries,T,21,
2015,1,CAR,Shaq,Thompson,LB,21,
2015,1,BAL,Breshad,Perriman,WR,22,
2015,1,DAL,Byron,Jones,DB,23,
2015,1,DET,Laken,Tomlinson,G,23,
2015,1,IND,Phillip,Dorsett,WR,22,
2015,1,GNB,Damarious,Randall,DB,23,
2015,1,NOR,Stephone,Anthony,LB,23,
2015,1,NWE,Malcom,Brown,DT,21,
2015,2,NYG,Landon,Collins,DB,21,
2015,2,TAM,Donovan,Smith,T,22,
2015,2,OAK,Mario,Edwards,DT,21,
2015,2,JAX,T.J.,Yeldon,RB,21,
2015,2,NYJ,Devin,Smith,WR,23,
2015,2,WAS,Preston,Smith,DE,22,
2015,2,CHI,Eddie,Goldman,DT,21,
2015,2,TEN,Dorial,Green-Beckham,WR,22,
2015,2,CAR,Devin,Funchess,TE,21,
2015,2,ATL,Jalen,Collins,DB,22,
2015,2,HOU,Benardrick,McKinney,LB,22,
2015,2,NOR,Hau'oli,Kikaha,LB,23,
2015,2,MIN,Eric,Kendricks,LB,23,
2015,2,SFO,Jaquiski,Tartt,DB,23,
2015,2,PHI,Eric,Rowe,DB,22,
2015,2,SDG,Denzel,Perryman,LB,21,
2015,2,KAN,Mitch,Morse,G,23,
2015,2,BUF,Ronald,Darby,DB,21,
2015,2,CLE,Nate,Orchard,DE,22,
2015,2,MIA,Jordan,Phillips,DT,23,
2015,2,CIN,Jake,Fisher,T,22,
2015,2,DET,Ameer,Abdullah,RB,22,
2015,2,BAL,Maxx,Williams,TE,21,
2015,2,PIT,Senquez,Golson,DB,22,
2015,2,STL,Rob,Havenstein,T,23,
2015,2,ARI,Markus,Golden,DE,24,
2015,2,DEN,Ty,Sambrailo,T,23,
2015,2,DAL,Randy,Gregory,LB,22,
2015,2,TAM,Ali,Marpet,C,22,
2015,2,GNB,Quinten,Rollins,DB,23,
2015,2,SEA,Frank,Clark,DE,22,
2015,2,NWE,Jordan,Richards,DB,22,
2015,3,IND,D'Joun,Smith,DB,23,
2015,3,TEN,Jeremiah,Poutasi,G,21,
2015,3,JAX,A.J.,Cann,G,23,
2015,3,OAK,Clive,Walford,TE,23,
2015,3,SEA,Tyler,Lockett,WR,23,
2015,3,HOU,Jaelen,Strong,WR,21,
2015,3,CHI,Hroniss,Grasu,C,24,
2015,3,STL,Jamon,Brown,T,22,
2015,3,ATL,Tevin,Coleman,RB,22,
2015,3,NYG,Owamagbe,Odighizuwa,DE,23,
2015,3,NOR,Garrett,Grayson,QB,24,
2015,3,KAN,Chris,Conley,WR,22,
2015,3,CLE,Duke,Johnson,RB,22,
2015,3,NOR,P.J.,Williams,DB,22,
2015,3,SFO,Eli,Harold,LB,21,
2015,3,DET,Alex,Carter,DB,20,
2015,3,BUF,John,Miller,G,22,
2015,3,NYJ,Lorenzo,Mauldin,LB,22,
2015,3,SDG,Craig,Mager,DB,23,
2015,3,PHI,Jordan,Hicks,LB,23,
2015,3,CIN,Tyler,Kroft,TE,22,
2015,3,ARI,David,Johnson,RB,23,
2015,3,PIT,Sammie,Coates,WR,22,
2015,3,MIN,Danielle,Hunter,DE,20,
2015,3,STL,Sean,Mannion,QB,23,
2015,3,BAL,Carl,Davis,DT,23,
2015,3,DAL,Chaz,Green,T,23,
2015,3,DEN,Jeff,Heuerman,TE,22,
2015,3,IND,Henry,Anderson,DE,24,
2015,3,GNB,Ty,Montgomery,WR,22,
2015,3,WAS,Matt,Jones,RB,22,
2015,3,CLE,Xavier,Cooper,DT,23,
2015,3,NWE,Geneo,Grissom,DE,23,
2015,3,KAN,Steven,Nelson,DB,22,
2015,3,CIN,Paul,Dawson,LB,22,
2015,4,TEN,Angelo,Blackson,DT,22,
2015,4,NWE,Trey,Flowers,DE,22,
2015,4,CAR,Daryl,Williams,G,23,
2015,4,NYJ,Bryce,Petty,QB,24,
2015,4,JAX,James,Sample,DB,23,
2015,4,WAS,Jamison,Crowder,WR,22,
2015,4,CHI,Jeremy,Langford,RB,23,
2015,4,ATL,Justin,Hardy,WR,23,
2015,4,TEN,Jalston,Fowler,FB,25,
2015,4,IND,Clayton,Geathers,DB,23,
2015,4,MIN,T.J.,Clemmings,T,23,
2015,4,NWE,Tre',Jackson,G,22,
2015,4,WAS,Arie,Kouandjio,G,23,
2015,4,DET,Gabe,Wright,DT,23,
2015,4,MIA,Jamil,Douglas,G,23,
2015,4,CLE,Ibraheim,Campbell,DB,23,
2015,4,ARI,Rodney,Gunter,DT,23,
2015,4,SFO,Blake,Bell,TE,24,
2015,4,KAN,Ramik,Wilson,LB,23,
2015,4,STL,Andrew,Donnal,T,23,
2015,4,CIN,Josh,Shaw,DB,23,
2015,4,PIT,Doran,Grant,DB,22,
2015,4,BAL,Za'Darius,Smith,DE,23,
2015,4,CLE,Vince,Mayle,WR,24,
2015,4,TAM,Kwon,Alexander,LB,21,
2015,4,BAL,Javorius,Allen,RB,24,
2015,4,SFO,Mike,Davis,RB,22,
2015,4,DAL,Damien,Wilson,LB,22,
2015,4,OAK,Jon,Feliciano,G,23,
2015,4,GNB,Jake,Ryan,LB,23,
2015,4,SEA,Terry,Poole,G,23,
2015,4,NWE,Shaq,Mason,C,22,
2015,4,SFO,DeAndre,Smelter,WR,23,
2015,4,DEN,Max,Garcia,C,23,
2015,4,SEA,Mark,Glowinski,G,23,
2015,4,CIN,Marcus,Hardison,DE,23,
2015,4,BAL,Tray,Walker,DB,23,
2015,5,ATL,Grady,Jarrett,DT,22,
2015,5,TEN,David,Cobb,RB,22,
2015,5,JAX,Rashad,Greene,WR,23,
2015,5,OAK,Ben,Heeney,LB,22,
2015,5,WAS,Martrell,Spaight,LB,22,
2015,5,CHI,Adrian,Amos,DB,22,
2015,5,MIN,MyCole,Pruitt,TE,23,
2015,5,NYG,Mykkele,Thompson,DB,22,
2015,5,MIA,Bobby,McCain,DB,22,
2015,5,MIN,Stefon,Diggs,WR,21,
2015,5,GNB,Brett,Hundley,QB,22,
2015,5,NOR,Davis,Tull,LB,23,
2015,5,MIA,Jay,Ajayi,RB,22,
2015,5,MIA,Cedric,Thompson,DB,22,
2015,5,IND,David,Parry,DT,23,
2015,5,NYJ,Jarvis,Harrison,G,23,
2015,5,SDG,Kyle,Emanuel,LB,24,
2015,5,NOR,Tyeler,Davison,DT,23,
2015,5,BUF,Karlos,Williams,RB,22,
2015,5,MIA,Tony,Lippett,WR,23,
2015,5,CIN,C.J.,Uzomah,TE,22,
2015,5,ARI,Shaquille,Riddick,DE,22,
2015,5,ARI,JJ,Nelson,WR,23,
2015,5,PIT,Jesse,James,TE,21,
2015,5,OAK,Neiron,Ball,LB,23,
2015,5,TAM,Kenny,Bell,WR,23,
