Last,First,year_start,year_end,trimmed_first,years_played
Petty, Ross,1920,1920,Ross,0
Beckwith, Norm,1920,1920,Norm,0
Capron, Ralph,1920,1920,Ralph,0
Webb, Art,1920,1922,Art,2
Knop, Oscar,1920,1927,Oscar,7
Gaulke, Hal,1920,1922,Hal,2
Baujan, Harry,1920,1921,Harry,1
Mahrt, Al,1920,1923,Al,3
Pepper, null,1920,1920,null,0
Watson, Ernest,1920,1920,Ernest,0
Ingwersen, Burt,1920,1920,Burt,0
Robb, Loyal,1920,1920,Loyal,0
Halas, George,1920,1929,George,9
Scott, Johnny,1920,1924,Johnny,4
Riddell, Speed,1920,1920,Speed,0
Schultz, Heinie,1920,1920,Heinie,0
Thomas, Vern,1920,1920,Vern,0
Feichtinger, Andy,1920,1920,Andy,0
MacDonald, Buck,1920,1921,Buck,1
Charpier, Len,1920,1920,Len,0
Thielscher, Karl,1920,1920,Karl,0
Tandy, George,1920,1921,George,1
Applegran, Clarence,1920,1920,Clarence,0
Gepford, Sid,1920,1920,Sid,0
Fletcher, Andy,1920,1920,Andy,0
Erehart, Archie,1920,1920,Archie,0
Maginnes, Al,1920,1921,Al,1
Young, Randy,1920,1920,Randy,0
Cahill, Denny,1920,1920,Denny,0
Maher, Birdie,1920,1920,Birdie,0
Sauer, Ed,1920,1926,Ed,6
Barsha, Johnny,1920,1920,Johnny,0
Gormley, Tom,1920,1921,Tom,1
Wesbecher, Al,1920,1920,Al,0
Kerr, George,1920,1921,George,1
LaRosa, Paul,1920,1921,Paul,1
Reeve, Lew,1920,1920,Lew,0
Early, Guy,1920,1921,Guy,1
Warren, null,1920,1920,null,0
Halstrom, Bernie,1920,1921,Bernie,1
Quinn, Paddy,1920,1921,Paddy,1
Davis, John,1920,1920,John,0
Nesser, Ted,1920,1921,Ted,1
King, Rip,1920,1925,Rip,5
Pearce, Pard,1920,1925,Pard,5
Ghee, Milt,1920,1921,Milt,1
Youngstrom, Swede,1920,1927,Swede,7
Falcon, Dick,1920,1920,Dick,0
Magerkurth, George,1920,1920,George,0
Kinderdine, Hobby,1920,1929,Hobby,9
Voss, Doc,1920,1920,Doc,0
Whalen, Bill,1920,1924,Bill,4
Annan, Dunc,1920,1926,Dunc,6
Haley, Art,1920,1923,Art,3
Gates, null,1920,1920,null,0
Chicken, Fred,1920,1920,Fred,0
Checkaye, Coonie,1920,1921,Coonie,1
Zoia, Clyde,1920,1923,Clyde,3
Nesser, Frank,1920,1926,Frank,6
Derr, Ben,1920,1921,Ben,1
Lepper, Barney,1920,1920,Barney,0
Kelly, Jimmy,1920,1920,Jimmy,0
Kellison, John,1920,1922,John,2
Feeney, Al,1920,1921,Al,1
Davis, null,1920,1920,null,0
Whipple, Ray,1920,1920,Ray,0
Koch, Polly,1920,1920,Polly,0
Usher, Lou,1920,1926,Lou,6
Thomas, Carl,1920,1923,Carl,3
O'Hearn, Ed,1920,1921,Ed,1
Irwin, Dutch,1920,1920,Dutch,0
Petree, Leo,1920,1922,Leo,2
Keefe, Emmett,1920,1922,Emmett,2
Roberts, Mace,1920,1924,Mace,4
Fenner, Lee,1920,1930,Lee,10
Hastings, Sandy,1920,1920,Sandy,0
Koehler, Bob,1920,1926,Bob,6
King, null,1920,1920,null,0
Tobin, Elgie,1920,1921,Elgie,1
Bacon, Frank,1920,1926,Frank,6
Allen, Lynn,1920,1920,Lynn,0
Tomlin, Tommy,1920,1926,Tommy,6
Ursella, Rube,1920,1929,Rube,9
Whelan, Tom,1920,1921,Tom,1
Bashaw, Mose,1920,1920,Mose,0
Carey, Joe,1920,1921,Joe,1
Fitzgerald, Freeman,1920,1921,Freeman,1
O'Connor, Dan,1920,1921,Dan,1
Nichols, Sid,1920,1921,Sid,1
Finsterwald, Russ,1920,1920,Russ,0
